from,till,country,province,locality,where,title,desc,result,link
1941-06-12,,,,,,Наши начинают скрытно готовиться,командование приграничных военных округов под видом учений и изменения дислокации летних лагерей приступило к скрытному развёртыванию войск вторых эшелонов округов в соответствии с планами обороны государственной границы.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-12,,,,,,Запрет полетов у границы,Семён Тимошенко (нарком обороны) приказывает «запретить полёты нашей авиации в приграничной полосе 10 км от госграницы.»,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-13,,,,,"Moscow, РСФСР",ТАСС опровергает слухи,"ТАСС говорит, что иностранные СМИ муссируют лживые и нелепые слухи, что СССР и Германия готовятся к войне",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-13,,,,,,У нас - 303 дивизии,"Николай Ватутин (Заместитель Начальника Генерального штаба Красной Армии) подготовил Справку о развёртывании вооружённых сил СССР на случай войны на западе. В ней говорится, что всего в СССР имеется 303 дивизии, из них для развёртывания на западных границах в составе фронтов — 186 дивизий.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-13,,,,,,Директива,"«Для повышения боевой готовности войск округа к 1 июля 1941 г. все глубинные дивизии и управления корпусов с корпусными частями перевести ближе к госгранице в новые лагеря… Передвижения войск сохранить в полной тайне. Марш совершать с тактическими учениями, по ночам.» Семен Тимошенко (Нарком обороны СССР) и Георгий Жуков (начальник Генштаба Красной Армии). Директива Военному совету КОВО.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-14,,,,,,Подготовка Барбароссы,"Гитлер слушает доклады о готовящихся действиях в операции ""Барбаросса"". После обеда в речи объясняет почему хочет напасть на Россию. ""Разгромим Россию и Англия прекратит борьбу""",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-15,,poland,,warsaw,,Гудериан вылетел в Варшаву,осматривать танки перед наступлением,,
1941-06-15,,,,,,Скрытное накопление войск,"Более половины дивизий, составлявших второй эшелон и резерв западных военных округов, приведены в движение.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-16,,russia,moscow,moscow,,Ускорение подготовки,ЦК ВКП(б) и СНК СССР принял постановление «Об ускорении приведения в боевую готовность укреплённых районов».,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-17,1941-06-21,,,,"Brest Province, BLR",Germans at the ready,Their tanks are at the departure positions to advance across the West Bug River near the Brest fortress in Belarus.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-17,,,,,,Ударят в любое время,"Наш шпион сообщает, что немцы закончили готовиться и могут ударить в любое время. Сталин не верит.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-17,,,,,FIN,Мобилизация в Финляндии,в Финляндии издан указ о мобилизации всей полевой армии,,
1941-06-18,,,,,"Moscow, РСФСР",German embassy goes empty,"Security minister informs the government that the Embassy workers are leaving with families, destroying the embassy's archives.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-19,,,,,,подготовка военных объектов,"Нарком обороны приказывает замаскировать аэродромы, воинские части и важные воен. объекты западных округов.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-20,,,,,,Germans violate our borders,Our state security tells German troops continue to concentrate. German planes violate our borders several times a day. Germans take off the barbed wire along the border.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
1941-06-20,,,,,FIN,Финны на границе,отмобилизованная армия сосредоточилась на советско-финской границе.,,
1941-06-21,,,,,,FIN attacks USSR,FIN begins military operations against USSR,,
1941-06-21,,,,,,We created Southern Front,Combatant Commander is General Ivan Tyulenev. Aim: a preventive strike against DEU forces near our border.,,https://ru.wikipedia.org/wiki/%D0%AE%D0%B6%D0%BD%D1%8B%D0%B9_%D1%84%D1%80%D0%BE%D0%BD%D1%82_(%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B0%D1%8F_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0)
1941-06-21,,russia,,,,Ввели в строй Катюшу,Реактивный снаряд РС-132 калибра 132 мм и пусковая установка на базе грузового автомобиля ЗИС-6 БМ-13 были приняты на вооружение 21 июня 1941 года;,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D1%8E%D1%88%D0%B0_(%D0%BF%D1%80%D0%BE%D0%B7%D0%B2%D0%B8%D1%89%D0%B5_%D0%BE%D1%80%D1%83%D0%B6%D0%B8%D1%8F)
1941-06-22,1941-06-28,,,,"Minsk Province, BLR",BLR capital shelled,"Shelling of Minsk, from morning to 9 pm. at intervals of 20-30 min.",,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BC%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%9C%D0%B8%D0%BD%D1%81%D0%BA%D0%B0
1941-06-22,1941-07-06,,,,UKR,Lvov-Chernovtsy defensive,"Our SW Front's Army and Navy are defending Western UKR, MDA and Black Sea. We lose 16,106 lives a day.",Lasted 15 days. The front was 600-700km wide. We retreated 300-350km. We lost 19.9% of our troops. We slowed down DEU on route to Kiev and bought time for the main body of our SW Front to retreat and take defense at the old border. Then we carried out mobilization.,
1941-06-22,1941-07-09,,,,BLR,Battle of Białystok–Minsk,A near-border battle at the central part of the front.,DEU surrounded and crushed the main body of our Western front.,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D1%81%D0%BA%D0%BE-%D0%9C%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5
1941-06-22,1941-07-09,,,,"LVA, LTU",Baltic operation,"Our Army and Navy are defending LVA, LTU, our North-West regions and the Baltic Sea. We lose 4,916 lives a day.",DEU defeated us. We slowed down DEU Army Group North. Lasted 18 days. Front was 350-450 km wide. We retreated 400-450 km. We lost 15.1% lives.,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B1%D0%B0%D0%BB%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F
1941-06-22,1941-07-09,,,,,Belarusian Defensive,"Our Western Front together with the Pinsk flotilla. Lives lost a day: 23,210.","We lose but we have slowed down their advance toward Smolensk (Smolensk Province, РСФСР). Duration: 18 days. Front: 450-800 km wide. Depth of retreat: 450-600 km. Lost lives: 54.4%.",https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F
1941-06-22,1941-07-20,,,,,Defense of Brest Fortress (BLR),7000 of our troops vs 22000 DEU,"Our losses: ~2K killed, ~4K captured. DEU losses: ~1.4K killed, ~2.2K wounded. Germans think Kamikaze attacks were motivated by fear of firing squad.",https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%B8#cite_note-10
1941-06-22,1941-07-26,,,,MDA,MDA border battles.,We defend Moldavia (Bessarabia and Severnaya Bukovina) against DEU and ROU.,We lose.,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%BD%D1%8B%D0%B5_%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D0%B2%D0%B8%D0%B8
1941-06-22,1941-09-30,,,,,Операция Барбаросса,План: нападение на СССР и молниеносная война.,"оперативный — поражение советских войск в приграничных сражениях и отступление вглубь страны при относительно малых потерях вермахта и союзников Германии; стратегический итог — провал стратегии блицкрига, рассчитанной на разгром СССР в ходе кампании 1941 года.",https://ru.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F_%C2%AB%D0%91%D0%B0%D1%80%D0%B1%D0%B0%D1%80%D0%BE%D1%81%D1%81%D0%B0%C2%BB
1941-06-22,1941-12-02,,,,"Hanko, FIN",Hanko defensive,We defend our Naval base in the city of Hanko against DEU Airforce and Navy,Our Naval base is evacuated to Leningrad,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%A5%D0%B0%D0%BD%D0%BA%D0%BE
1941-06-22,,,,,"Brest Province, BLR","Умрем, но из крепости не уйдем. ","Нас было пятеро: Седов, Грутов И., Боголюб, Михайлов, Селиванов В. Мы приняли первый бой 22.VI.1941 – 3.15 ч. ",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,First air ramming,Dmitry Kokorev rammed a German fighter plane and survived.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Wysokie Mazowieckie, POL",We bomb ROU naval bases,"Our Black See AF makes the first raid on Naval Base in Constanța (ROU), also in Sulina.",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,GBR is ready to help,Prime minister Churchhill says GBR is ready to help us against DEU,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,Communist Internationale help,"YUG, BGR, FRA, USA, GBR  comunists call on people of their countries to help SU against DEU.",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Rome, ITA",Mussolini declares war on us,He breaks the Pact signed with us in 1933.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Moscow, РСФСР",Head of Church calls to defend,Metropolitan Sergiy calls on Christians to come to the defense of the Motherland,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,Martial Law declared,Martial Law declared in all western regions.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Moscow, РСФСР",Mobilization decree passed,Decree passed about mobilization of all reservists and all from 23 to 36 (born 1905-1918),,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Moscow, РСФСР",Radio announcement about War,"Foreign Minister Molotov announces the news of the Treacherous Attack of Germans on the radio. He ended with: ""Our cause is righteous. The enemy will be defeated. The victory will be ours!""",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,"Brest Province, BLR",DEU attack Brest Fortress,"3:15 am: hammering fire. 3:23 am: DEU storming. 7:00 am: 8000 of ours retreat, 5000 stay trapped and fight. 9:00: fortress surrounded. Evening: DEU shelling offering surrender.",,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%B8
1941-06-22,,,,,,Treacherous attack,"4:00 am. DEU breakes the Non-Aggression Treaty and attacks us. DEU start with air raids and barbaric shelling of numerous cities in LVA, LTU, BLR, UKR, Crimea.",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,We are at high alert,"00:30 am. All firing points manned, cities dimmed-out, warplanes camouflaged, ",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-22,,,,,,Великая Отечественная Война,"Война Союза Советских Социалистических Республик против вторгшихся на советскую территорию нацистской Германии и её европейских союзников (Венгрии, Италии, Румынии, Словакии, Финляндии, Хорватии).",победа Красной Армии и безоговорочной капитуляцией вооружённых сил Германии,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B0%D1%8F_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1941-06-22,,,,,,"Валя Зенкина, пионер-герой",14 лет. Помогает защитникам Брестской крепости,,http://safe-rgs.ru/4671-valya-zenkina-zaschitnica-brestskoy-kreposti.html
1941-06-23,1941-06-25,,,,"Rovno Province, UKR",Defending 1 UKR city,We are fighting DEU in Dubno,DEU takes the city. We retreat.,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#25_.D0.B8.D1.8E.D0.BD.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._4-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-06-23,,,,,"LVA, LTU, BLR, UKR.",11 cities lost,"DEU occupy multiple cities in LVA, LTU, BLR, UKR.",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1413-23-06-1941
1941-06-23,,,,,,Komsomol to train,All Komsomol members must undergo basic combat training.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1413-23-06-1941
1941-06-23,,,,,,Our Baltic fleet takes action,"installing mines and patrolling, to stop DEU entering our waters.",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1413-23-06-1941
1941-06-23,,,,,"Grodno Province, BLR",1 BLR city lost,After multiple fierce attacks we leave Grodno and retreat 15 km east.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1413-23-06-1941
1941-06-23,,,,,BLR,First head-on tank battle,"BLR, on the line between Kamyenyets - Zhabinka - Velikie Radvanichi",,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1413-23-06-1941
1941-06-23,,,,,,First reservists at reporting centers,,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1412-22-06-1941
1941-06-23,,,,,"Brest Province, BLR",Brest Fortress fights back,remaining defenders join forces and counterattack DEU,,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%B8
1941-06-24,,,,,,DEU communists condemn war,Central Committe of DEU communists addresses the DEU people and condemns the war,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1414-24-06-1941
1941-06-24,,,,,"Vilnyus, LTU",LTU capital lost,Vilnyus defenders attacked and leave the city.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1414-24-06-1941
1941-06-24,,,,,,We Move industry away,We adopted a bylaw to move industry from 6 cities in the west to the rear.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1414-24-06-1941
1941-06-24,,,,,"Brest Province, BLR",Brest Fortress fights back,"Some defenders fight back, some try to break through but almost all get captured or killed. DEU captures 570 defenders.",,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%B8
